,map,regular_time,regular_sum_of_costs,reverse_time_30,reverse_sum_of_costs_30,reverse_time_60,reverse_sum_of_costs_60,reverse_time_120,reverse_sum_of_costs_120,reverse_time_300,reverse_sum_of_costs_300
0,custom_mazes/custom_maze_10.txt,0.45693278312683105,32,0.4372410774230957,32,0.4372410774230957,32,0.4372410774230957,32,0.4372410774230957,32
1,custom_mazes/custom_maze_49.txt,1818.3140902519226,188,30.18698215484619,188,60.181278228759766,188,120.15694570541382,188,300.2808735370636,188
2,custom_mazes/custom_maze_45.txt,1168.1331434249878,172,30.12687039375305,172,60.14144968986511,172,120.16362595558167,172,300.25625252723694,172
3,custom_mazes/custom_maze_40.txt,632.522881269455,152,30.101343154907227,152,60.09880876541138,152,120.12119579315186,152,300.08372688293457,152
4,custom_mazes/custom_maze_35.txt,314.68325114250183,132,30.05914282798767,132,60.08291530609131,132,120.07825827598572,132,300.0652370452881,132
5,custom_mazes/custom_maze_30.txt,139.67462038993835,112,30.03959059715271,112,60.04261088371277,112,120.143967628479,112,140.1426010131836,112
6,custom_mazes/custom_maze_25.txt,52.6751127243042,92,30.03437638282776,92,52.96991276741028,92,52.96991276741028,92,52.96991276741028,92
7,custom_mazes/custom_maze_20.txt,15.694523334503174,72,15.843474626541138,72,15.843474626541138,72,15.843474626541138,72,15.843474626541138,72
8,custom_mazes/custom_maze_15.txt,3.1455190181732178,52,3.2309181690216064,52,3.2309181690216064,52,3.2309181690216064,52,3.2309181690216064,52
9,custom_mazes/custom_maze_05.txt,0.0068738460540771484,12,0.008148908615112305,12,0.008148908615112305,12,0.008148908615112305,12,0.008148908615112305,12
