,map,regular_time,regular_sum_of_costs,reverse_time_60,reverse_sum_of_costs_60,reverse_time_120,reverse_sum_of_costs_120,reverse_time_300,reverse_sum_of_costs_300
25,mazes/maze50x50_3_76.txt,0.0915381908416748,159,0.09163618087768555,159,0.09163618087768555,159,0.09163618087768555,159
26,mazes/maze50x50_3_75.txt,0.9654045104980469,213,60.26616024971008,229,120.44061326980591,225,122.4788658618927,213
27,mazes/maze50x50_3_74.txt,32.339746713638306,266,61.04651951789856,296,120.96611714363098,296,301.7109875679016,296
28,mazes/maze50x50_3_73.txt,0.024577856063842773,55,0.017061233520507812,55,0.017061233520507812,55,0.017061233520507812,55
29,mazes/maze50x50_3_72.txt,0.23224735260009766,189,0.2238330841064453,189,0.2238330841064453,189,0.2238330841064453,189
30,mazes/maze50x50_3_71.txt,0.30446290969848633,182,1.1954865455627441,182,1.1954865455627441,182,1.1954865455627441,182
31,mazes/maze50x50_3_70.txt,0.15892362594604492,210,0.19892001152038574,210,0.19892001152038574,210,0.19892001152038574,210
32,mazes/maze50x50_3_7.txt,0.15848183631896973,162,0.14030051231384277,162,0.14030051231384277,162,0.14030051231384277,162
33,mazes/maze50x50_3_69.txt,0.23623251914978027,167,0.30511903762817383,167,0.30511903762817383,167,0.30511903762817383,167
34,mazes/maze50x50_3_68.txt,0.19937372207641602,203,0.17548012733459473,203,0.17548012733459473,203,0.17548012733459473,203
35,mazes/maze50x50_3_67.txt,0.28019237518310547,176,0.23838496208190918,176,0.23838496208190918,176,0.23838496208190918,176
36,mazes/maze50x50_3_66.txt,0.26510000228881836,221,1.4193997383117676,221,1.4193997383117676,221,1.4193997383117676,221
37,mazes/maze50x50_3_65.txt,0.7119474411010742,271,0.813784122467041,271,0.813784122467041,271,0.813784122467041,271
38,mazes/maze50x50_3_64.txt,0.2516045570373535,235,0.3545112609863281,235,0.3545112609863281,235,0.3545112609863281,235
39,mazes/maze50x50_3_63.txt,0.06269240379333496,138,0.06474089622497559,138,0.06474089622497559,138,0.06474089622497559,138
40,mazes/maze50x50_3_62.txt,0.21772074699401855,178,0.21814751625061035,178,0.21814751625061035,178,0.21814751625061035,178
41,mazes/maze50x50_3_61.txt,1.4125134944915771,149,60.31091284751892,171,120.25198602676392,171,216.7182366847992,149
42,mazes/maze50x50_3_60.txt,0.29965686798095703,250,0.9970417022705078,250,0.9970417022705078,250,0.9970417022705078,250
43,mazes/maze50x50_3_6.txt,0.49663710594177246,247,0.5563910007476807,247,0.5563910007476807,247,0.5563910007476807,247
44,mazes/maze50x50_3_59.txt,0.046291351318359375,119,0.0456695556640625,119,0.0456695556640625,119,0.0456695556640625,119
45,mazes/maze50x50_3_58.txt,0.08626270294189453,116,0.08600997924804688,116,0.08600997924804688,116,0.08600997924804688,116
46,mazes/maze50x50_3_57.txt,0.04624128341674805,86,0.032124996185302734,86,0.032124996185302734,86,0.032124996185302734,86
47,mazes/maze50x50_3_56.txt,287.03989124298096,340,60.17437267303467,False,121.55549693107605,False,305.9509162902832,False
48,mazes/maze50x50_3_55.txt,0.2893640995025635,220,0.3253140449523926,220,0.3253140449523926,220,0.3253140449523926,220
49,mazes/maze50x50_3_54.txt,0.37149786949157715,240,0.3659696578979492,240,0.3659696578979492,240,0.3659696578979492,240
