,map,regular_time,regular_sum_of_costs,reverse_time_30,reverse_sum_of_costs_30,reverse_time_60,reverse_sum_of_costs_60,reverse_time_120,reverse_sum_of_costs_120,reverse_time_300,reverse_sum_of_costs_300
0,custom_mazes/custom_maze_10.txt,0.5100123882293701,32,0.6698963642120361,32,0.6698963642120361,32,0.6698963642120361,32,0.6698963642120361,32
1,custom_mazes/custom_maze_49.txt,1644.1950025558472,188,30.15882158279419,False,60.105939626693726,False,120.28219485282898,194,300.2956154346466,194
2,custom_mazes/custom_maze_45.txt,1061.0302579402924,172,30.148462295532227,False,60.19131422042847,174,120.21493482589722,174,300.3403480052948,174
3,custom_mazes/custom_maze_40.txt,574.2178485393524,152,30.13708186149597,154,60.15022563934326,154,120.19450831413269,154,300.1629147529602,154
4,custom_mazes/custom_maze_35.txt,285.88959312438965,132,30.091280937194824,134,60.1125373840332,134,120.13839411735535,134,300.0906744003296,132
5,custom_mazes/custom_maze_30.txt,127.06833791732788,112,30.064486026763916,114,60.07983684539795,114,120.08412432670593,112,138.99274826049805,112
6,custom_mazes/custom_maze_25.txt,47.87765407562256,92,30.042684078216553,94,53.31968688964844,92,53.31968688964844,92,53.31968688964844,92
7,custom_mazes/custom_maze_20.txt,14.260121822357178,72,16.216171741485596,72,16.216171741485596,72,16.216171741485596,72,16.216171741485596,72
8,custom_mazes/custom_maze_15.txt,2.8540191650390625,52,3.3973963260650635,52,3.3973963260650635,52,3.3973963260650635,52,3.3973963260650635,52
9,custom_mazes/custom_maze_05.txt,0.012738704681396484,12,0.01563858985900879,12,0.01563858985900879,12,0.01563858985900879,12,0.01563858985900879,12
