,map,regular_time,regular_sum_of_costs,reverse_time_30,reverse_sum_of_costs_30,reverse_time_60,reverse_sum_of_costs_60,reverse_time_120,reverse_sum_of_costs_120,reverse_time_300,reverse_sum_of_costs_300
0,mazes/maze50x50_3_99.txt,0.8518407344818115,279,2.589674711227417,279,2.589674711227417,279,2.589674711227417,279,2.589674711227417,279
1,mazes/maze50x50_3_98.txt,0.23411297798156738,235,0.8149981498718262,235,0.8149981498718262,235,0.8149981498718262,235,0.8149981498718262,235
2,mazes/maze50x50_3_97.txt,0.07863259315490723,155,0.09314584732055664,155,0.09314584732055664,155,0.09314584732055664,155,0.09314584732055664,155
3,mazes/maze50x50_3_96.txt,0.13257813453674316,136,0.11330032348632812,136,0.11330032348632812,136,0.11330032348632812,136,0.11330032348632812,136
4,mazes/maze50x50_3_95.txt,0.05877232551574707,124,0.07193160057067871,124,0.07193160057067871,124,0.07193160057067871,124,0.07193160057067871,124
5,mazes/maze50x50_3_94.txt,0.16405224800109863,154,0.14140772819519043,154,0.14140772819519043,154,0.14140772819519043,154,0.14140772819519043,154
6,mazes/maze50x50_3_93.txt,289.9000315666199,169,30.25082039833069,169,60.20350480079651,169,120.2892496585846,169,300.4823045730591,169
7,mazes/maze50x50_3_92.txt,0.4016296863555908,180,1.4925742149353027,180,1.4925742149353027,180,1.4925742149353027,180,1.4925742149353027,180
8,mazes/maze50x50_3_91.txt,0.30025362968444824,180,0.3075292110443115,180,0.3075292110443115,180,0.3075292110443115,180,0.3075292110443115,180
9,mazes/maze50x50_3_90.txt,0.02733469009399414,87,0.07647180557250977,87,0.07647180557250977,87,0.07647180557250977,87,0.07647180557250977,87
10,mazes/maze50x50_3_9.txt,0.0886082649230957,146,0.09054327011108398,146,0.09054327011108398,146,0.09054327011108398,146,0.09054327011108398,146
11,mazes/maze50x50_3_89.txt,0.09152412414550781,163,0.09191155433654785,163,0.09191155433654785,163,0.09191155433654785,163,0.09191155433654785,163
12,mazes/maze50x50_3_88.txt,0.2826554775238037,171,1.1472446918487549,171,1.1472446918487549,171,1.1472446918487549,171,1.1472446918487549,171
13,mazes/maze50x50_3_87.txt,0.12370061874389648,124,0.11664676666259766,124,0.11664676666259766,124,0.11664676666259766,124,0.11664676666259766,124
14,mazes/maze50x50_3_86.txt,0.08594679832458496,150,0.08785867691040039,150,0.08785867691040039,150,0.08785867691040039,150,0.08785867691040039,150
15,mazes/maze50x50_3_85.txt,0.08179640769958496,111,0.08356261253356934,111,0.08356261253356934,111,0.08356261253356934,111,0.08356261253356934,111
16,mazes/maze50x50_3_84.txt,0.16727089881896973,149,0.4710407257080078,149,0.4710407257080078,149,0.4710407257080078,149,0.4710407257080078,149
17,mazes/maze50x50_3_83.txt,0.41563963890075684,239,0.8379004001617432,239,0.8379004001617432,239,0.8379004001617432,239,0.8379004001617432,239
18,mazes/maze50x50_3_82.txt,0.09680724143981934,128,0.09639215469360352,128,0.09639215469360352,128,0.09639215469360352,128,0.09639215469360352,128
19,mazes/maze50x50_3_81.txt,0.14317059516906738,168,0.16164278984069824,168,0.16164278984069824,168,0.16164278984069824,168,0.16164278984069824,168
20,mazes/maze50x50_3_80.txt,342.3492343425751,205,30.297645330429077,205,60.17785692214966,205,120.18199396133423,205,286.81784319877625,205
21,mazes/maze50x50_3_8.txt,0.04581713676452637,109,0.04442286491394043,109,0.04442286491394043,109,0.04442286491394043,109,0.04442286491394043,109
22,mazes/maze50x50_3_79.txt,0.09977412223815918,150,0.27498507499694824,150,0.27498507499694824,150,0.27498507499694824,150,0.27498507499694824,150
23,mazes/maze50x50_3_78.txt,0.11268305778503418,123,0.19372344017028809,123,0.19372344017028809,123,0.19372344017028809,123,0.19372344017028809,123
24,mazes/maze50x50_3_77.txt,0.05410909652709961,120,0.06665802001953125,120,0.06665802001953125,120,0.06665802001953125,120,0.06665802001953125,120
25,mazes/maze50x50_3_76.txt,0.09292984008789062,159,0.0941920280456543,159,0.0941920280456543,159,0.0941920280456543,159,0.0941920280456543,159
26,mazes/maze50x50_3_75.txt,0.9788646697998047,213,3.7894322872161865,213,3.7894322872161865,213,3.7894322872161865,213,3.7894322872161865,213
27,mazes/maze50x50_3_74.txt,33.10443830490112,266,30.356940984725952,266,38.108781814575195,266,38.108781814575195,266,38.108781814575195,266
28,mazes/maze50x50_3_73.txt,0.01674509048461914,55,0.017240047454833984,55,0.017240047454833984,55,0.017240047454833984,55,0.017240047454833984,55
29,mazes/maze50x50_3_72.txt,0.1554546356201172,189,0.1583998203277588,189,0.1583998203277588,189,0.1583998203277588,189,0.1583998203277588,189
30,mazes/maze50x50_3_71.txt,0.21285128593444824,182,0.8900051116943359,182,0.8900051116943359,182,0.8900051116943359,182,0.8900051116943359,182
31,mazes/maze50x50_3_70.txt,0.17636775970458984,210,0.19078373908996582,210,0.19078373908996582,210,0.19078373908996582,210,0.19078373908996582,210
32,mazes/maze50x50_3_7.txt,0.15515851974487305,162,0.13550782203674316,162,0.13550782203674316,162,0.13550782203674316,162,0.13550782203674316,162
33,mazes/maze50x50_3_69.txt,0.22785043716430664,167,0.9367811679840088,167,0.9367811679840088,167,0.9367811679840088,167,0.9367811679840088,167
34,mazes/maze50x50_3_68.txt,0.16436052322387695,203,0.18214201927185059,203,0.18214201927185059,203,0.18214201927185059,203,0.18214201927185059,203
35,mazes/maze50x50_3_67.txt,0.22440385818481445,176,0.21815204620361328,176,0.21815204620361328,176,0.21815204620361328,176,0.21815204620361328,176
36,mazes/maze50x50_3_66.txt,0.29492616653442383,221,0.9838747978210449,221,0.9838747978210449,221,0.9838747978210449,221,0.9838747978210449,221
37,mazes/maze50x50_3_65.txt,0.6549727916717529,271,2.0407798290252686,271,2.0407798290252686,271,2.0407798290252686,271,2.0407798290252686,271
38,mazes/maze50x50_3_64.txt,0.24706363677978516,235,0.7547392845153809,235,0.7547392845153809,235,0.7547392845153809,235,0.7547392845153809,235
39,mazes/maze50x50_3_63.txt,0.05139517784118652,138,0.050803422927856445,138,0.050803422927856445,138,0.050803422927856445,138,0.050803422927856445,138
40,mazes/maze50x50_3_62.txt,0.2030179500579834,178,0.19939160346984863,178,0.19939160346984863,178,0.19939160346984863,178,0.19939160346984863,178
41,mazes/maze50x50_3_61.txt,1.4784927368164062,149,8.084737062454224,149,8.084737062454224,149,8.084737062454224,149,8.084737062454224,149
42,mazes/maze50x50_3_60.txt,0.28699326515197754,250,1.3585565090179443,250,1.3585565090179443,250,1.3585565090179443,250,1.3585565090179443,250
43,mazes/maze50x50_3_6.txt,0.4281487464904785,247,0.9241535663604736,247,0.9241535663604736,247,0.9241535663604736,247,0.9241535663604736,247
44,mazes/maze50x50_3_59.txt,0.04758810997009277,119,0.047688961029052734,119,0.047688961029052734,119,0.047688961029052734,119,0.047688961029052734,119
