,map,reverse_time_0,reverse_sum_of_costs_0,reverse_time_5,reverse_sum_of_costs_5,reverse_time_10,reverse_sum_of_costs_10,reverse_time_15,reverse_sum_of_costs_15,reverse_time_20,reverse_sum_of_costs_20,reverse_time_25,reverse_sum_of_costs_25,reverse_time_30,reverse_sum_of_costs_30,reverse_time_35,reverse_sum_of_costs_35,reverse_time_40,reverse_sum_of_costs_40,reverse_time_45,reverse_sum_of_costs_45,reverse_time_50,reverse_sum_of_costs_50,reverse_time_55,reverse_sum_of_costs_55,reverse_time_60,reverse_sum_of_costs_60,reverse_time_65,reverse_sum_of_costs_65,reverse_time_70,reverse_sum_of_costs_70,reverse_time_75,reverse_sum_of_costs_75,reverse_time_80,reverse_sum_of_costs_80,reverse_time_85,reverse_sum_of_costs_85,reverse_time_90,reverse_sum_of_costs_90,reverse_time_95,reverse_sum_of_costs_95,reverse_time_100,reverse_sum_of_costs_100,reverse_time_105,reverse_sum_of_costs_105,reverse_time_110,reverse_sum_of_costs_110,reverse_time_115,reverse_sum_of_costs_115,reverse_time_120,reverse_sum_of_costs_120,reverse_time_125,reverse_sum_of_costs_125,reverse_time_130,reverse_sum_of_costs_130,reverse_time_135,reverse_sum_of_costs_135,reverse_time_140,reverse_sum_of_costs_140,reverse_time_145,reverse_sum_of_costs_145,reverse_time_150,reverse_sum_of_costs_150,reverse_time_155,reverse_sum_of_costs_155,reverse_time_160,reverse_sum_of_costs_160,reverse_time_165,reverse_sum_of_costs_165,reverse_time_170,reverse_sum_of_costs_170,reverse_time_175,reverse_sum_of_costs_175,reverse_time_180,reverse_sum_of_costs_180,reverse_time_185,reverse_sum_of_costs_185,reverse_time_190,reverse_sum_of_costs_190,reverse_time_195,reverse_sum_of_costs_195
0,mazes/maze100x100_3_37.txt,0.0370481014251709,False,5.866095781326294,False,11.733768224716187,False,15.994579315185547,False,21.261127710342407,False,26.798216342926025,False,31.426087141036987,False,37.537384271621704,False,41.969470500946045,497,47.090006589889526,497,52.014984369277954,497,57.2768611907959,497,62.270551681518555,497,67.76818370819092,497,72.76531767845154,497,77.20139241218567,497,82.74381804466248,497,88.05197405815125,497,93.15875458717346,497,97.77557611465454,497,102.68733882904053,497,107.34508514404297,497,112.73086762428284,497,117.40902614593506,497,122.14699268341064,497,127.37772989273071,497,132.5852508544922,497,137.02416253089905,497,142.3065414428711,497,147.08156728744507,497,152.47432208061218,497,157.4676387310028,497,163.02913975715637,497,167.64224910736084,497,172.4021270275116,497,177.4881784915924,497,182.38840317726135,497,187.22928023338318,497,192.13296341896057,497,197.977947473526,497
1,mazes/maze50x50_3_34.txt,0.012880563735961914,False,5.186092138290405,False,10.26993727684021,False,15.783010005950928,False,20.301339864730835,False,26.724668502807617,False,31.6477108001709,False,35.425368547439575,False,40.542080879211426,False,46.50005626678467,313,50.590283155441284,313,55.49707555770874,313,60.50252652168274,313,65.50029253959656,313,70.55857992172241,313,75.56004118919373,313,80.50799322128296,313,85.56500577926636,313,90.55314946174622,313,95.5138931274414,313,100.63253092765808,313,105.52539038658142,313,110.70324444770813,313,115.80938124656677,313,120.63946747779846,313,125.69668292999268,313,130.50234699249268,313,135.61038756370544,313,140.61575150489807,313,145.66282153129578,313,150.48268032073975,313,155.61421942710876,313,160.51490950584412,313,165.5673108100891,313,170.55928707122803,313,175.78531885147095,313,180.62263822555542,313,185.51760721206665,313,190.56362557411194,313,195.61283612251282,313
2,mazes/maze50x50_3_56.txt,0.013899803161621094,False,5.45663857460022,False,10.465961694717407,False,15.3282949924469,343,20.52607822418213,343,25.358559131622314,343,30.369395971298218,343,35.47812557220459,343,40.3287456035614,343,45.49499464035034,343,50.487446546554565,343,55.51221799850464,343,60.41263270378113,343,65.43494439125061,343,70.3880364894867,343,75.56095719337463,343,80.47876143455505,343,85.46459150314331,343,90.66971158981323,343,95.36020040512085,343,100.51070594787598,343,105.67921280860901,343,110.66363716125488,343,115.35042691230774,343,120.46232724189758,343,125.3763039112091,343,130.38762879371643,343,135.5059244632721,343,140.3009593486786,343,145.29668045043945,343,150.4104733467102,343,155.50396156311035,343,160.50966715812683,343,165.45007944107056,343,170.60801029205322,343,175.55361771583557,343,180.94974732398987,343,185.38288807868958,343,190.53314399719238,343,195.60686421394348,343
3,mazes/maze50x50_3_190.txt,0.01108860969543457,False,5.631537437438965,216,10.254527568817139,216,15.380645990371704,216,20.4091694355011,216,25.42518711090088,216,30.378876447677612,216,35.25484776496887,216,40.46460819244385,216,45.383540630340576,216,50.43538737297058,216,55.45811176300049,216,60.417072772979736,216,65.3916347026825,216,70.48457360267639,216,75.4692051410675,216,80.26506757736206,216,85.40148448944092,216,90.26929950714111,216,95.50377058982849,216,100.5630693435669,216,105.27003335952759,216,110.41165089607239,216,115.39101505279541,216,120.51659345626831,216,125.60439801216125,216,130.53778219223022,216,135.4590127468109,216,140.4407708644867,216,145.482497215271,216,150.48480892181396,216,155.53558707237244,216,160.63335800170898,216,165.4534842967987,216,170.65716433525085,216,175.42625832557678,216,181.3122537136078,216,185.45194935798645,216,190.38635897636414,216,195.6327040195465,216
4,mazes/maze25x25_3_196.txt,0.004519939422607422,False,5.230441570281982,120,10.11588191986084,120,15.163753747940063,120,20.224805116653442,120,25.27234125137329,120,30.184017181396484,120,35.33102035522461,120,40.16401553153992,120,45.21640491485596,120,50.16338086128235,120,55.14129948616028,120,60.11642408370972,117,65.27620649337769,117,70.17802286148071,117,75.13194799423218,117,80.21837878227234,117,85.10861682891846,117,90.15078687667847,117,95.2430009841919,117,100.1717700958252,117,105.14805817604065,117,110.19815826416016,117,115.17882299423218,117,120.14742159843445,117,125.21654939651489,117,130.2061903476715,117,135.08385300636292,117,140.1195204257965,117,145.09462714195251,117,150.12821221351624,117,155.1184561252594,117,160.1451280117035,117,165.14306807518005,117,170.1057095527649,117,175.14644598960876,117,180.1327772140503,117,185.1368682384491,117,190.21165108680725,117,195.12213277816772,117
5,mazes/maze50x50_3_114.txt,0.006386518478393555,False,5.624574422836304,207,10.27808690071106,207,15.28288221359253,207,20.364443063735962,207,25.31777286529541,207,30.393614530563354,207,35.49990677833557,207,40.30561947822571,207,45.48113441467285,207,50.26778054237366,207,55.37888216972351,207,60.567933082580566,207,65.28933715820312,207,70.21465802192688,207,75.28211116790771,207,80.17014479637146,207,85.4497320652008,207,90.18332862854004,207,95.3998532295227,207,100.49441695213318,207,104.63913583755493,205,105.89673781394958,205,105.47967171669006,205,105.47967171669006,205,105.47967171669006,205,105.47967171669006,205,105.47967171669006,205,105.47967171669006,205,105.47967171669006,205,105.47967171669006,205,105.47967171669006,205,105.47967171669006,205,105.47967171669006,205,105.47967171669006,205,105.47967171669006,205,105.47967171669006,205,105.47967171669006,205,105.47967171669006,205,105.47967171669006,205
6,mazes/maze25x25_3_50.txt,0.003579378128051758,False,5.056365013122559,96,10.06029224395752,96,15.041650295257568,96,20.078663110733032,96,25.099493503570557,96,30.074265480041504,96,35.11596751213074,96,40.055135011672974,96,45.063419580459595,96,50.184590339660645,96,55.08187198638916,96,60.0548141002655,96,59.98719596862793,95,59.98719596862793,95,59.98719596862793,95,59.98719596862793,95,59.98719596862793,95,59.98719596862793,95,59.98719596862793,95,59.98719596862793,95,59.98719596862793,95,59.98719596862793,95,59.98719596862793,95,59.98719596862793,95,59.98719596862793,95,59.98719596862793,95,59.98719596862793,95,59.98719596862793,95,59.98719596862793,95,59.98719596862793,95,59.98719596862793,95,59.98719596862793,95,59.98719596862793,95,59.98719596862793,95,59.98719596862793,95,59.98719596862793,95,59.98719596862793,95,59.98719596862793,95,59.98719596862793,95
7,mazes/maze25x25_3_88.txt,0.002760648727416992,False,5.078269958496094,112,10.065879106521606,112,15.091144561767578,112,20.085612773895264,112,25.08875298500061,112,30.0593421459198,112,32.61743783950806,109,32.856863498687744,109,32.856863498687744,109,32.856863498687744,109,32.856863498687744,109,32.856863498687744,109,32.856863498687744,109,32.856863498687744,109,32.856863498687744,109,32.856863498687744,109,32.856863498687744,109,32.856863498687744,109,32.856863498687744,109,32.856863498687744,109,32.856863498687744,109,32.856863498687744,109,32.856863498687744,109,32.856863498687744,109,32.856863498687744,109,32.856863498687744,109,32.856863498687744,109,32.856863498687744,109,32.856863498687744,109,32.856863498687744,109,32.856863498687744,109,32.856863498687744,109,32.856863498687744,109,32.856863498687744,109,32.856863498687744,109,32.856863498687744,109,32.856863498687744,109,32.856863498687744,109,32.856863498687744,109
